skygroup,season,n_transits,n_tces,n_days,transits_per_day,channel
1,0,39,8,369.3986369999984,0.10557700027463872,81
1,1,30,7,373.42409999998927,0.08033761077552537,29
1,2,29,8,325.28240000001097,0.08915330186938802,1
1,3,35,7,347.63679499999853,0.10067979138974673,53
2,0,28,7,369.3986369999984,0.07579887199204831,82
2,1,29,8,373.42409999998927,0.07765969041634119,30
2,2,34,8,325.28240000001097,0.10452456081238595,2
2,3,29,8,347.63679499999853,0.08342039858007586,54
3,0,27,5,369.3986369999984,0.07309176942090373,83
3,1,24,5,373.42409999998927,0.06427008862042029,31
3,2,23,5,325.28240000001097,0.0707077911377905,3
3,3,27,5,347.63679499999853,0.0776672676435189,55
4,0,20,9,369.3986369999984,0.05414205142289165,84
4,1,18,7,373.42409999998927,0.04820256646531522,32
4,2,15,8,325.28240000001097,0.046113776828993806,4
4,3,14,6,347.63679499999853,0.04027191655589869,56
5,0,28,6,369.3986369999984,0.07579887199204831,77
5,1,29,7,373.42409999998927,0.07765969041634119,49
5,2,6,4,325.28240000001097,0.01844551073159752,5
5,3,21,5,347.63679499999853,0.06040787483384804,33
6,0,36,9,369.3986369999984,0.09745569256120497,78
6,1,41,9,373.42409999998927,0.10979473472655134,50
6,2,9,8,325.28240000001097,0.027668266097396282,6
6,3,34,9,347.63679499999853,0.09780322592146824,34
7,0,42,10,369.3986369999984,0.11369830798807247,79
7,1,44,12,373.42409999998927,0.11782849580410387,51
7,2,12,10,325.28240000001097,0.03689102146319504,7
7,3,42,12,347.63679499999853,0.12081574966769608,35
8,0,19,5,369.3986369999984,0.05143494885174707,80
8,1,23,6,373.42409999998927,0.06159216826123611,52
8,2,6,5,325.28240000001097,0.01844551073159752,8
8,3,15,5,347.63679499999853,0.04314848202417717,36
9,0,15,6,369.3986369999984,0.04060653856716874,73
9,1,18,8,373.42409999998927,0.04820256646531522,69
9,2,15,7,325.28240000001097,0.046113776828993806,9
9,3,17,7,347.63679499999853,0.04890161296073412,13
10,0,13,4,369.3986369999984,0.035192333424879575,74
10,1,15,4,373.42409999998927,0.040168805387762685,70
10,2,16,3,325.28240000001097,0.049188028617593395,10
10,3,12,3,347.63679499999853,0.034518785619341734,14
11,0,13,3,369.3986369999984,0.035192333424879575,75
11,1,14,2,373.42409999998927,0.0374908850285785,71
11,2,13,2,325.28240000001097,0.03996527325179463,11
11,3,15,3,347.63679499999853,0.04314848202417717,15
12,0,21,7,369.3986369999984,0.056849153994036235,76
12,1,22,8,373.42409999998927,0.058914247902051936,72
12,2,20,8,325.28240000001097,0.06148503577199174,12
12,3,18,7,347.63679499999853,0.051778178429012604,16
13,0,38,10,369.3986369999984,0.10286989770349414,69
13,1,38,9,373.42409999998927,0.1017609736489988,9
13,2,35,9,325.28240000001097,0.10759881260098554,13
13,3,31,8,347.63679499999853,0.08917352951663282,73
14,0,20,9,369.3986369999984,0.05414205142289165,70
14,1,25,9,373.42409999998927,0.06694800897960447,10
14,2,17,6,325.28240000001097,0.052262280406192976,14
14,3,18,6,347.63679499999853,0.051778178429012604,74
15,0,43,11,369.3986369999984,0.11640541055921705,71
15,1,48,12,373.42409999998927,0.12854017724084058,11
15,2,36,9,325.28240000001097,0.11067306438958513,15
15,3,41,11,347.63679499999853,0.1179391841994176,75
16,0,59,13,369.3986369999984,0.15971905169753037,72
16,1,58,13,373.42409999998927,0.15531938083268237,12
16,2,49,13,325.28240000001097,0.15063833764137977,16
16,3,47,13,347.63679499999853,0.13519857700908847,76
17,0,38,10,369.3986369999984,0.10286989770349414,65
17,1,35,10,373.42409999998927,0.09372721257144626,25
17,2,38,10,325.28240000001097,0.1168215679667843,17
17,3,26,10,347.63679499999853,0.07479070217524042,57
18,0,43,10,369.3986369999984,0.11640541055921705,66
18,1,50,9,373.42409999998927,0.13389601795920894,26
18,2,48,9,325.28240000001097,0.14756408585278016,18
18,3,48,11,347.63679499999853,0.13807514247736694,58
19,0,23,8,369.3986369999984,0.0622633591363254,67
19,1,17,7,373.42409999998927,0.04552464610613104,27
19,2,14,6,325.28240000001097,0.04303952504039422,19
19,3,16,6,347.63679499999853,0.046025047492455645,59
20,0,28,7,369.3986369999984,0.07579887199204831,68
20,1,22,7,373.42409999998927,0.058914247902051936,28
20,2,31,8,325.28240000001097,0.0953018054465872,20
20,3,32,8,347.63679499999853,0.09205009498491129,60
21,0,54,14,369.3986369999984,0.14618353884180746,61
21,1,54,15,373.42409999998927,0.14460769939594567,45
21,2,48,12,325.28240000001097,0.14756408585278016,21
21,3,53,15,347.63679499999853,0.15245796981875934,37
22,0,30,8,369.3986369999984,0.08121307713433748,62
22,1,22,6,373.42409999998927,0.058914247902051936,46
22,2,15,4,325.28240000001097,0.046113776828993806,22
22,3,20,6,347.63679499999853,0.057531309365569556,38
23,0,39,10,369.3986369999984,0.10557700027463872,63
23,1,31,9,373.42409999998927,0.08301553113470955,47
23,2,30,10,325.28240000001097,0.09222755365798761,23
23,3,35,9,347.63679499999853,0.10067979138974673,39
24,0,46,12,369.3986369999984,0.1245267182726508,64
24,1,48,13,373.42409999998927,0.12854017724084058,48
24,2,44,14,325.28240000001097,0.13526707869838184,24
24,3,46,14,347.63679499999853,0.13232201154081,40
25,0,26,9,369.3986369999984,0.07038466684975915,57
25,1,21,8,373.42409999998927,0.05623632754286776,65
25,2,20,8,325.28240000001097,0.06148503577199174,25
25,3,22,10,347.63679499999853,0.06328444030212652,17
26,0,28,10,369.3986369999984,0.07579887199204831,58
26,1,22,9,373.42409999998927,0.058914247902051936,66
26,2,17,7,325.28240000001097,0.052262280406192976,26
26,3,20,8,347.63679499999853,0.057531309365569556,18
27,0,18,4,369.3986369999984,0.048727846280602484,59
27,1,17,4,373.42409999998927,0.04552464610613104,67
27,2,16,5,325.28240000001097,0.049188028617593395,27
27,3,18,5,347.63679499999853,0.051778178429012604,19
28,0,17,5,369.3986369999984,0.046020743709457905,60
28,1,31,9,373.42409999998927,0.08301553113470955,68
28,2,20,7,325.28240000001097,0.06148503577199174,28
28,3,19,6,347.63679499999853,0.05465474389729108,20
29,0,24,6,369.3986369999984,0.06497046170746998,53
29,1,27,6,373.42409999998927,0.07230384969797284,81
29,2,22,6,325.28240000001097,0.06763353934919092,29
29,3,24,5,347.63679499999853,0.06903757123868347,1
30,0,34,8,369.3986369999984,0.09204148741891581,54
30,1,43,8,373.42409999998927,0.11515057544491969,82
30,2,39,8,325.28240000001097,0.1198958197553839,30
30,3,34,8,347.63679499999853,0.09780322592146824,2
31,0,9,4,369.3986369999984,0.024363923140301242,55
31,1,6,3,373.42409999998927,0.016067522155105072,83
31,2,1,1,325.28240000001097,0.003074251788599587,31
31,3,8,4,347.63679499999853,0.023012523746227823,3
32,0,27,10,369.3986369999984,0.07309176942090373,56
32,1,18,8,373.42409999998927,0.04820256646531522,84
32,2,17,8,325.28240000001097,0.052262280406192976,32
32,3,13,6,347.63679499999853,0.03739535108762021,4
33,0,85,18,369.3986369999984,0.2301037185472895,49
33,1,17,15,373.42409999998927,0.04552464610613104,5
33,2,79,20,325.28240000001097,0.24286589129936736,33
33,3,73,17,347.63679499999853,0.2099892791843289,77
34,0,38,12,369.3986369999984,0.10286989770349414,50
34,1,6,6,373.42409999998927,0.016067522155105072,6
34,2,36,13,325.28240000001097,0.11067306438958513,34
34,3,38,13,347.63679499999853,0.10930948779458216,78
35,0,27,9,369.3986369999984,0.07309176942090373,51
35,1,3,2,373.42409999998927,0.008033761077552536,7
35,2,30,9,325.28240000001097,0.09222755365798761,35
35,3,25,8,347.63679499999853,0.07191413670696195,79
36,0,19,6,369.3986369999984,0.05143494885174707,52
36,1,3,3,373.42409999998927,0.008033761077552536,8
36,2,20,5,325.28240000001097,0.06148503577199174,36
36,3,20,6,347.63679499999853,0.057531309365569556,80
37,0,67,17,369.3986369999984,0.18137587226668703,45
37,1,68,18,373.42409999998927,0.18209858442452417,21
37,2,61,17,325.28240000001097,0.1875293591045748,37
37,3,65,18,347.63679499999853,0.18697675543810108,61
38,0,56,13,369.3986369999984,0.15159774398409662,46
38,1,50,13,373.42409999998927,0.13389601795920894,22
38,2,47,11,325.28240000001097,0.1444898340641806,38
38,3,50,13,347.63679499999853,0.1438282734139239,62
39,0,86,22,369.3986369999984,0.2328108211184341,47
39,1,76,21,373.42409999998927,0.2035219472979976,23
39,2,73,20,325.28240000001097,0.22442038056776986,39
39,3,74,20,347.63679499999853,0.21286584465260736,63
40,0,55,14,369.3986369999984,0.14889064141295202,48
40,1,55,15,373.42409999998927,0.14728561975512983,24
40,2,50,15,325.28240000001097,0.15371258942997934,40
40,3,46,15,347.63679499999853,0.13232201154081,64
41,0,13,3,369.3986369999984,0.035192333424879575,43
41,1,24,6,373.42409999998927,0.06427008862042029,44
41,2,14,4,325.28240000001097,0.04303952504039422,41
41,3,16,4,347.63679499999853,0.046025047492455645,42
42,0,34,11,369.3986369999984,0.09204148741891581,44
42,1,21,8,373.42409999998927,0.05623632754286776,41
42,2,28,9,325.28240000001097,0.08607905008078844,42
42,3,26,10,347.63679499999853,0.07479070217524042,43
43,0,30,10,369.3986369999984,0.08121307713433748,41
43,1,32,11,373.42409999998927,0.08569345149389372,42
43,2,32,10,325.28240000001097,0.09837605723518679,43
43,3,38,12,347.63679499999853,0.10930948779458216,44
44,0,30,11,369.3986369999984,0.08121307713433748,42
44,1,34,11,373.42409999998927,0.09104929221226209,43
44,2,32,10,325.28240000001097,0.09837605723518679,44
44,3,41,12,347.63679499999853,0.1179391841994176,41
45,0,26,8,369.3986369999984,0.07038466684975915,37
45,1,25,7,373.42409999998927,0.06694800897960447,61
45,2,28,8,325.28240000001097,0.08607905008078844,45
45,3,26,8,347.63679499999853,0.07479070217524042,21
46,0,20,8,369.3986369999984,0.05414205142289165,38
46,1,13,5,373.42409999998927,0.034812964669394326,62
46,2,20,8,325.28240000001097,0.06148503577199174,46
46,3,16,8,347.63679499999853,0.046025047492455645,22
47,0,48,16,369.3986369999984,0.12994092341493996,39
47,1,56,16,373.42409999998927,0.149963540114314,63
47,2,46,16,325.28240000001097,0.141415582275581,47
47,3,52,16,347.63679499999853,0.14958140435048084,23
48,0,40,9,369.3986369999984,0.1082841028457833,40
48,1,36,9,373.42409999998927,0.09640513293063044,64
48,2,32,8,325.28240000001097,0.09837605723518679,48
48,3,29,8,347.63679499999853,0.08342039858007586,24
49,0,15,4,369.3986369999984,0.04060653856716874,33
49,1,19,5,373.42409999998927,0.0508804868244994,77
49,2,17,5,325.28240000001097,0.052262280406192976,49
49,3,4,4,347.63679499999853,0.011506261873113911,5
50,0,39,10,369.3986369999984,0.10557700027463872,34
50,1,34,10,373.42409999998927,0.09104929221226209,78
50,2,43,12,325.28240000001097,0.13219282690978224,50
50,3,4,4,347.63679499999853,0.011506261873113911,6
51,0,12,2,369.3986369999984,0.03248523085373499,35
51,1,12,2,373.42409999998927,0.032135044310210144,79
51,2,8,2,325.28240000001097,0.024594014308796697,51
51,3,1,1,347.63679499999853,0.002876565468278478,7
52,0,32,6,369.3986369999984,0.08662728227662664,36
52,1,29,6,373.42409999998927,0.07765969041634119,80
52,2,22,5,325.28240000001097,0.06763353934919092,52
52,3,1,1,347.63679499999853,0.002876565468278478,8
53,0,37,11,369.3986369999984,0.10016279513234955,29
53,1,37,11,373.42409999998927,0.09908305328981462,1
53,2,36,11,325.28240000001097,0.11067306438958513,53
53,3,35,11,347.63679499999853,0.10067979138974673,81
54,0,16,4,369.3986369999984,0.04331364113831332,30
54,1,21,5,373.42409999998927,0.05623632754286776,2
54,2,12,5,325.28240000001097,0.03689102146319504,54
54,3,21,5,347.63679499999853,0.06040787483384804,82
55,0,22,5,369.3986369999984,0.059556256565180814,31
55,1,22,5,373.42409999998927,0.058914247902051936,3
55,2,18,5,325.28240000001097,0.055336532194792565,55
55,3,21,5,347.63679499999853,0.06040787483384804,83
56,0,43,10,369.3986369999984,0.11640541055921705,32
56,1,43,10,373.42409999998927,0.11515057544491969,4
56,2,39,10,325.28240000001097,0.1198958197553839,56
56,3,40,9,347.63679499999853,0.11506261873113911,84
57,0,64,16,369.3986369999984,0.17325456455325328,25
57,1,59,17,373.42409999998927,0.15799730119186656,17
57,2,54,16,325.28240000001097,0.1660095965843777,57
57,3,52,16,347.63679499999853,0.14958140435048084,65
58,0,49,16,369.3986369999984,0.13264802598608455,26
58,1,50,14,373.42409999998927,0.13389601795920894,18
58,2,47,16,325.28240000001097,0.1444898340641806,58
58,3,39,14,347.63679499999853,0.11218605326286064,66
59,0,43,12,369.3986369999984,0.11640541055921705,27
59,1,50,13,373.42409999998927,0.13389601795920894,19
59,2,39,12,325.28240000001097,0.1198958197553839,59
59,3,44,14,347.63679499999853,0.12656888060425303,67
60,0,32,10,369.3986369999984,0.08662728227662664,28
60,1,29,9,373.42409999998927,0.07765969041634119,20
60,2,34,9,325.28240000001097,0.10452456081238595,60
60,3,27,10,347.63679499999853,0.0776672676435189,68
61,0,58,15,369.3986369999984,0.15701194912638577,21
61,1,56,14,373.42409999998927,0.149963540114314,37
61,2,63,15,325.28240000001097,0.19367786268177398,61
61,3,48,14,347.63679499999853,0.13807514247736694,45
62,0,35,10,369.3986369999984,0.09474858999006039,22
62,1,36,9,373.42409999998927,0.09640513293063044,38
62,2,32,10,325.28240000001097,0.09837605723518679,62
62,3,32,10,347.63679499999853,0.09205009498491129,46
63,0,41,13,369.3986369999984,0.11099120541692788,23
63,1,50,15,373.42409999998927,0.13389601795920894,39
63,2,49,16,325.28240000001097,0.15063833764137977,63
63,3,50,16,347.63679499999853,0.1438282734139239,47
64,0,33,10,369.3986369999984,0.08933438484777122,24
64,1,35,10,373.42409999998927,0.09372721257144626,40
64,2,33,10,325.28240000001097,0.10145030902378636,64
64,3,32,11,347.63679499999853,0.09205009498491129,48
65,0,55,15,369.3986369999984,0.14889064141295202,17
65,1,47,12,373.42409999998927,0.12586225688165642,57
65,2,41,13,325.28240000001097,0.12604432333258306,65
65,3,46,13,347.63679499999853,0.13232201154081,25
66,0,36,8,369.3986369999984,0.09745569256120497,18
66,1,36,9,373.42409999998927,0.09640513293063044,58
66,2,29,7,325.28240000001097,0.08915330186938802,66
66,3,37,10,347.63679499999853,0.10643292232630368,26
67,0,31,8,369.3986369999984,0.08392017970548206,19
67,1,36,8,373.42409999998927,0.09640513293063044,59
67,2,30,7,325.28240000001097,0.09222755365798761,67
67,3,38,10,347.63679499999853,0.10930948779458216,27
68,0,31,9,369.3986369999984,0.08392017970548206,20
68,1,43,12,373.42409999998927,0.11515057544491969,60
68,2,33,12,325.28240000001097,0.10145030902378636,68
68,3,39,12,347.63679499999853,0.11218605326286064,28
69,0,26,7,369.3986369999984,0.07038466684975915,13
69,1,31,7,373.42409999998927,0.08301553113470955,73
69,2,21,7,325.28240000001097,0.06455928756059133,69
69,3,30,8,347.63679499999853,0.08629696404835434,9
70,0,54,14,369.3986369999984,0.14618353884180746,14
70,1,56,16,373.42409999998927,0.149963540114314,74
70,2,58,16,325.28240000001097,0.17830660373877605,70
70,3,50,13,347.63679499999853,0.1438282734139239,10
71,0,43,11,369.3986369999984,0.11640541055921705,15
71,1,41,11,373.42409999998927,0.10979473472655134,75
71,2,35,11,325.28240000001097,0.10759881260098554,71
71,3,37,11,347.63679499999853,0.10643292232630368,11
72,0,29,7,369.3986369999984,0.07850597456319289,16
72,1,31,7,373.42409999998927,0.08301553113470955,76
72,2,23,7,325.28240000001097,0.0707077911377905,72
72,3,24,7,347.63679499999853,0.06903757123868347,12
73,0,35,10,369.3986369999984,0.09474858999006039,9
73,1,30,10,373.42409999998927,0.08033761077552537,13
73,2,35,12,325.28240000001097,0.10759881260098554,73
73,3,35,11,347.63679499999853,0.10067979138974673,69
74,0,47,15,369.3986369999984,0.12723382084379536,10
74,1,48,16,373.42409999998927,0.12854017724084058,14
74,2,41,14,325.28240000001097,0.12604432333258306,74
74,3,43,16,347.63679499999853,0.12369231513597455,70
75,0,40,10,369.3986369999984,0.1082841028457833,11
75,1,41,9,373.42409999998927,0.10979473472655134,15
75,2,44,11,325.28240000001097,0.13526707869838184,75
75,3,37,9,347.63679499999853,0.10643292232630368,71
76,0,34,11,369.3986369999984,0.09204148741891581,12
76,1,37,11,373.42409999998927,0.09908305328981462,16
76,2,33,8,325.28240000001097,0.10145030902378636,76
76,3,50,12,347.63679499999853,0.1438282734139239,72
77,0,17,13,369.3986369999984,0.046020743709457905,5
77,1,61,15,373.42409999998927,0.16335314191023492,33
77,2,56,13,325.28240000001097,0.17215810016157687,77
77,3,62,15,347.63679499999853,0.17834705903326564,49
78,0,10,8,369.3986369999984,0.027071025711445824,6
78,1,34,9,373.42409999998927,0.09104929221226209,34
78,2,29,8,325.28240000001097,0.08915330186938802,78
78,3,28,7,347.63679499999853,0.08054383311179739,50
79,0,11,11,369.3986369999984,0.029778128282590407,7
79,1,66,19,373.42409999998927,0.1767427437061558,35
79,2,45,18,325.28240000001097,0.1383413304869814,79
79,3,56,18,347.63679499999853,0.16108766622359477,51
80,0,8,7,369.3986369999984,0.02165682056915666,8
80,1,37,9,373.42409999998927,0.09908305328981462,36
80,2,39,9,325.28240000001097,0.1198958197553839,80
80,3,39,9,347.63679499999853,0.11218605326286064,52
81,0,36,8,369.3986369999984,0.09745569256120497,1
81,1,34,8,373.42409999998927,0.09104929221226209,53
81,2,22,6,325.28240000001097,0.06763353934919092,81
81,3,26,5,347.63679499999853,0.07479070217524042,29
82,0,64,18,369.3986369999984,0.17325456455325328,2
82,1,62,16,373.42409999998927,0.1660310622694191,54
82,2,57,17,325.28240000001097,0.17523235195017645,82
82,3,58,16,347.63679499999853,0.1668407971601517,30
83,0,77,20,369.3986369999984,0.20844689797813284,3
83,1,80,21,373.42409999998927,0.2142336287347343,55
83,2,66,21,325.28240000001097,0.20290061804757273,83
83,3,80,21,347.63679499999853,0.23012523746227823,31
84,0,46,13,369.3986369999984,0.1245267182726508,4
84,1,49,13,373.42409999998927,0.13121809760002476,56
84,2,40,12,325.28240000001097,0.12297007154398348,84
84,3,36,12,347.63679499999853,0.10355635685802521,32
